count(*),STATE_CODE,COUNTY_CODE,ASOF_DATE
3627,  ,   ,1990
378,  ,   ,1991
387,  ,   ,1992
16,  ,   ,1993
970,  ,   ,1994
2,  ,   ,1995
1,  ,   ,2000
423,  ,   ,2001
140,  ,   ,2002
1,  , 24,1992
1140,  ,000,1990
2004,  ,000,1991
437,  ,000,1992
1,  ,000,1994
2,  ,001,1990
25,  ,001,1991
4,  ,001,1992
2,  ,003,1991
1,  ,003,1994
1,  ,003,1995
1,  ,004,1992
2,  ,005,1991
1,  ,005,1993
2,  ,006,1990
1,  ,006,1991
1,  ,006,1992
4,  ,007,1990
2,  ,007,1991
1,  ,008,1992
1,  ,009,1991
5,  ,011,1990
1,  ,012,1990
2,  ,013,1990
3,  ,013,1991
1,  ,013,2002
3,  ,015,1990
1,  ,015,1991
5,  ,017,1990
24,  ,017,1991
1,  ,018,1990
1,  ,019,1990
2,  ,019,1991
1,  ,020,1990
3,  ,020,1992
1,  ,021,1990
1,  ,024,1991
2,  ,025,1990
1,  ,025,1991
2,  ,025,1994
2,  ,026,1992
3,  ,026,1993
6,  ,027,1990
2,  ,029,1990
1,  ,029,1994
1,  ,031,1990
3,  ,031,1991
1,  ,034,1991
3,  ,035,1991
18,  ,037,1990
1,  ,037,1994
1,  ,037,1995
2,  ,038,1990
1,  ,039,1990
2,  ,039,1991
1,  ,040,1990
1,  ,041,1990
1,  ,042,1990
1,  ,043,1990
1,  ,045,1990
3,  ,045,1992
1,  ,047,1990
5,  ,048,1992
1,  ,049,1990
6,  ,049,1993
5,  ,050,1990
7,  ,053,1990
4,  ,053,1991
7,  ,054,1990
1,  ,055,1990
11,  ,055,1991
3,  ,057,1991
1,  ,058,1990
2,  ,059,1990
1,  ,059,1991
21,  ,061,1991
1,  ,062,1990
1,  ,063,1990
21,  ,063,1991
2,  ,063,1995
1,  ,065,1990
1,  ,065,1991
230,  ,067,1991
1,  ,069,1990
1,  ,072,1991
3,  ,073,1991
1,  ,077,1990
1,  ,079,1992
