FIPS_STATE,FIPS_COUNTY,COUNTY_NAME,COUNTY_LAT,COUNTY_LONG
02,013,Aleutians East Borough,55.229183,-161.915191
02,016,Aleutians West Census Area,52.242645,-175.129755
02,020,Anchorage Borough,61.178368,-149.186416
02,050,Bethel Census Area,60.939161,-160.147317
02,060,Bristol Bay Borough,58.744623,-156.988097
02,070,Dillingham Census Area,59.949649,-158.429855
02,090,Fairbanks North Star Borough,64.846315,-146.643388
02,100,Haines Borough,59.155973,-135.443717
02,110,Juneau Borough,58.388588,-134.133421
02,122,Kenai Peninsula Borough,60.202478,-151.629576
02,130,Ketchikan Gateway Borough,55.54115,-131.408008
02,150,Kodiak Island Borough,57.707368,-153.782518
02,164,Lake and Peninsula Borough,58.401493,-156.184669
02,170,Matanuska-Susitna Borough,62.395317,-149.575328
02,180,Nome Census Area,64.735328,-164.186608
02,185,North Slope Borough,69.296886,-153.448095
02,188,Northwest Arctic Borough,67.000678,-159.998166
02,201,Prince of Wales-Outer Ketchikan,55.454038,-132.050372
02,220,Sitka Borough,57.21405,-135.446833
02,231,Skagway-Yakutat-Angoon Census A,58.811136,-136.622061
02,240,Southeast Fairbanks Census Area,63.765233,-143.598085
02,261,Valdez-Cordova Census Area,61.400254,-144.503102
02,270,Wade Hampton Census Area,62.087611,-163.529421
02,280,Wrangell-Petersburg Census Area,56.518015,-132.961816
02,290,Yukon-Koyukuk Census Area,65.285776,-151.646937
01,001,Autauga County,32.542207,-86.641472
01,003,Baldwin County,30.654881,-87.754736
01,005,Barbour County,31.863073,-85.388993
01,007,Bibb County,32.996943,-87.126855
01,009,Blount County,33.97974,-86.566214
01,011,Bullock County,32.101773,-85.717786
01,013,Butler County,31.751982,-86.682302
01,015,Calhoun County,33.774548,-85.825619
01,017,Chambers County,32.915184,-85.389802
01,019,Cherokee County,34.187088,-85.60575
01,021,Chilton County,32.844987,-86.718688
01,023,Choctaw County,32.024863,-88.265781
01,025,Clarke County,31.677523,-87.835981
01,027,Clay County,33.268721,-85.859858
01,029,Cleburne County,33.67087,-85.517385
01,031,Coffee County,31.402888,-85.98913
01,033,Colbert County,34.707296,-87.796569
01,035,Conecuh County,31.428183,-86.992999
01,037,Coosa County,32.935503,-86.239249
01,039,Covington County,31.248133,-86.453162
01,041,Crenshaw County,31.731354,-86.311599
01,043,Cullman County,34.13167,-86.866896
01,045,Dale County,31.426115,-85.612338
01,047,Dallas County,32.329593,-87.109517
01,049,DeKalb County,34.45983,-85.798731
01,051,Elmore County,32.59991,-86.138157
01,053,Escambia County,31.136909,-87.162695
01,055,Etowah County,34.047533,-86.03825
01,057,Fayette County,33.729772,-87.735378
01,059,Franklin County,34.435932,-87.843648
01,061,Geneva County,31.094395,-85.837337
01,063,Greene County,32.854779,-87.951231
01,065,Hale County,32.755765,-87.625424
01,067,Henry County,31.516095,-85.239835
01,069,Houston County,31.151186,-85.304578
01,071,Jackson County,34.776174,-86.002129
01,073,Jefferson County,33.552433,-86.896716
01,075,Lamar County,33.775081,-88.096415
